workflow_bandwidth_m,workflow_step,analysis_step,focal_school_name,quadrant,flat_type,n_obs,n_inside,n_outside,tau_hat,coefficient,tau_se,tau_pvalue,tau_ci_low,tau_ci_high,tau_pct_approx,r_squared,status,is_estimable,significant_10pct,significant_5pct,significant_1pct,max_abs_smd_numeric,max_tvd_categorical
100,pooled,01_pooled_period_aware_rdd,,,,3863,1657,2206,0.0040511677062216,0.4059384778612562,0.0054093597640661,0.4539065402061053,-0.006550982610768,0.0146533180232112,0.4059384778612562,0.968927887636984,ok,,,,,,
100,school,02_school_period_aware_rdd,CATHOLIC HIGH SCHOOL,,,568,346,222,-0.0223043352284779,-2.205743261655424,0.0148778043085685,0.133829930580202,-0.051464295842307,0.0068556253853511,-2.205743261655424,0.978344777344894,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,,133,98,35,-0.0547099947300981,-5.324032656073108,0.0376134678197184,0.1457988523776587,-0.1284310369904027,0.0190110475302063,-5.324032656073108,0.9902912454937808,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,CHIJ PRIMARY (TOA PAYOH),,,424,275,149,0.0206803923626996,2.089571342331653,0.0155723514508001,0.1841715382933529,-0.0098408556354687,0.0512016403608681,2.089571342331653,0.9833919013155548,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,PEI CHUN PUBLIC SCHOOL,,,1070,368,702,0.0130576771352632,1.3143300877859865,0.0108499790633391,0.2287926106083374,-0.008207891061895,0.0343232453324216,1.3143300877859865,0.970556596327192,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,,,526,221,305,0.0157200346643368,1.5844244416274522,0.0164749418700623,0.3399933158932438,-0.0165702580483763,0.0480103273770499,1.5844244416274522,0.9745613386105624,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,METHODIST GIRLS' SCHOOL (PRIMARY),,,75,33,42,0.043824540662829,4.479901906156147,0.0540659984070538,0.4176098421863641,-0.0621428690031964,0.1497919503288545,4.479901906156147,0.9815466596789412,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,NORTHLAND PRIMARY SCHOOL,,,303,107,196,0.0126381781199174,1.2718377394460134,0.0156105866597213,0.4181757370773605,-0.0179580095106779,0.0432343657505127,1.2718377394460134,0.9680234214908248,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,AI TONG SCHOOL,,,468,171,297,-0.0073235677716405,-0.7296815795660994,0.0152034228394446,0.6300153847396026,-0.0371217289786858,0.0224745934354047,-0.7296815795660994,0.9703105017548082,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,CHONGFU SCHOOL,,,172,25,147,0.0016220748874946,0.16233911625676,0.057754118034772,0.9775936604707446,-0.1115739164195338,0.1148180661945231,0.16233911625676,0.9909311308086194,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,ANGLO-CHINESE SCHOOL (JUNIOR),,,95,13,82,,,,,,,,,insufficient_sample,False,False,False,False,,
100,school,02_school_period_aware_rdd,ST. JOSEPH'S INSTITUTION JUNIOR,,,29,0,29,,,,,,,,,insufficient_sample,False,False,False,False,,
100,school_quadrant,03_school_quadrant_period_aware_rdd,AI TONG SCHOOL,NE,,231,120,111,0.0411228255589168,4.198007947172555,0.0214628154660603,0.055364673876598,-0.0009435197613907,0.0831891708792245,4.198007947172555,0.9839356542266444,ok,True,True,False,False,0.4262905133525295,0.4394144144144145
100,school_quadrant,03_school_quadrant_period_aware_rdd,AI TONG SCHOOL,SE,,237,51,186,-0.0420632239740057,-4.119084106920656,0.0203784709402702,0.0390081331470287,-0.0820042930769314,-0.00212215487108,-4.119084106920656,0.9418036056221925,ok,True,True,True,False,1.5075680054505969,0.6881720430107529
100,school_quadrant,03_school_quadrant_period_aware_rdd,ANGLO-CHINESE SCHOOL (JUNIOR),NE,,95,13,82,,,,,,,,,insufficient_sample,False,False,False,False,1.98942141566252,0.6951219512195123
100,school_quadrant,03_school_quadrant_period_aware_rdd,CATHOLIC HIGH SCHOOL,NW,,19,19,0,,,,,,,,,insufficient_sample,False,False,False,False,,0.5
100,school_quadrant,03_school_quadrant_period_aware_rdd,CATHOLIC HIGH SCHOOL,SE,,532,327,205,-0.0204278344166417,-2.0220599724720123,0.014908614016457,0.1706234004819979,-0.0496481809483066,0.0087925121150231,-2.0220599724720123,0.9654545921722836,ok,True,False,False,False,0.9115797882728036,0.2100992019094503
100,school_quadrant,03_school_quadrant_period_aware_rdd,CATHOLIC HIGH SCHOOL,SW,,17,0,17,,,,,,,,,insufficient_sample,False,False,False,False,,0.5
100,school_quadrant,03_school_quadrant_period_aware_rdd,CHIJ PRIMARY (TOA PAYOH),NE,,394,270,124,0.0147285453149298,1.4837544815715198,0.016150299389992,0.3617859190387683,-0.0169254598289937,0.0463825504588534,1.4837544815715198,0.984311268282232,ok,True,False,False,False,0.7635212705082841,0.3873954599761051
100,school_quadrant,03_school_quadrant_period_aware_rdd,CHIJ PRIMARY (TOA PAYOH),SE,,30,5,25,,,,,,,,,insufficient_sample,False,False,False,False,3.885083982492581,0.8800000000000001
100,school_quadrant,03_school_quadrant_period_aware_rdd,CHIJ ST. NICHOLAS GIRLS' SCHOOL,SE,,79,49,30,-0.1265731187412697,-11.889027844566314,0.0619454704697509,0.0410228471396225,-0.2479840098673711,-0.0051622276151683,-11.889027844566314,0.9949798468690704,ok,True,True,True,False,1.6134531251229425,0.5680272108843538
100,school_quadrant,03_school_quadrant_period_aware_rdd,CHIJ ST. NICHOLAS GIRLS' SCHOOL,SW,,54,49,5,,,,,,,,,insufficient_sample,False,False,False,False,6.1540855846934805,1.0
100,school_quadrant,03_school_quadrant_period_aware_rdd,CHONGFU SCHOOL,SE,,172,25,147,0.0016220748874946,0.16233911625676,0.057754118034772,0.9775936604707446,-0.1115739164195338,0.1148180661945231,0.16233911625676,0.9909311308086194,ok,True,False,False,False,1.5942463382859644,0.8163265306122449
100,school_quadrant,03_school_quadrant_period_aware_rdd,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,NW,,148,67,81,0.0276358053385976,2.80212163971163,0.0304663323544312,0.3643574715255615,-0.0320771088171149,0.0873487194943102,2.80212163971163,0.9656114892744304,ok,True,False,False,False,1.0354593627262736,0.7283950617283951
100,school_quadrant,03_school_quadrant_period_aware_rdd,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,SE,,59,0,59,,,,,,,,,insufficient_sample,False,False,False,False,,0.5
100,school_quadrant,03_school_quadrant_period_aware_rdd,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,SW,,319,154,165,-0.0122538696090813,-1.2179096679750925,0.0188508906217423,0.5156651276810642,-0.0492009363042003,0.0246931970860375,-1.2179096679750925,0.9778799299841946,ok,True,False,False,False,1.5441552980239988,0.3943722943722944
100,school_quadrant,03_school_quadrant_period_aware_rdd,METHODIST GIRLS' SCHOOL (PRIMARY),NW,,75,33,42,0.043824540662829,4.479901906156147,0.0540659984070538,0.4176098421863641,-0.0621428690031964,0.1497919503288545,4.479901906156147,0.9815466596789412,ok,True,False,False,False,1.8475067945067676,0.670995670995671
100,school_quadrant,03_school_quadrant_period_aware_rdd,NORTHLAND PRIMARY SCHOOL,NE,,121,46,75,0.0045644348397007,0.4574867739794985,0.0532454440433604,0.931685488759892,-0.0997947178261285,0.1089235875055299,0.4574867739794985,0.9819833084187832,ok,True,False,False,False,0.4117635970781998,0.4043478260869564
100,school_quadrant,03_school_quadrant_period_aware_rdd,NORTHLAND PRIMARY SCHOOL,NW,,182,61,121,0.0229407290178906,2.3205891331816275,0.0311002137095933,0.4607338791632014,-0.038014569764411,0.0838960278001924,2.3205891331816275,0.9719359071321336,ok,True,False,False,False,0.6387459549570745,0.6041186831052703
100,school_quadrant,03_school_quadrant_period_aware_rdd,PEI CHUN PUBLIC SCHOOL,NE,,91,39,52,0.0516739175372205,5.303231115352869,0.1218305490345082,0.6714594745301352,-0.1871095707871566,0.2904574058615977,5.303231115352869,0.9837473425060256,ok,True,False,False,False,1.227121634487594,0.5897435897435898
100,school_quadrant,03_school_quadrant_period_aware_rdd,PEI CHUN PUBLIC SCHOOL,NW,,442,175,267,-0.0297705238786333,-2.933174682101436,0.0140931699362629,0.0346514757432414,-0.0573926293817113,-0.0021484183755552,-2.933174682101436,0.9761137504595554,ok,True,True,True,False,0.7462620780320982,0.2884323167469235
100,school_quadrant,03_school_quadrant_period_aware_rdd,PEI CHUN PUBLIC SCHOOL,SW,,537,154,383,-0.0179316605769068,-1.7771845029829203,0.0152685378646698,0.2402272488993176,-0.0478574448882459,0.0119941237344321,-1.7771845029829203,0.9643083588566744,ok,True,False,False,False,0.7695363144458757,0.5535248041775457
100,school_quadrant,03_school_quadrant_period_aware_rdd,ST. JOSEPH'S INSTITUTION JUNIOR,NW,,29,0,29,,,,,,,,,insufficient_sample,False,False,False,False,,0.5
100,school_flat_type,05_school_flat_type_period_aware_rdd,AI TONG SCHOOL,,3 ROOM,109,61,48,-0.0321021634901135,-3.1592358879262705,0.0309344457280885,0.2993873268595146,-0.0927325629988761,0.028528236018649,-3.1592358879262705,0.9752266578384672,ok,True,False,False,False,1.1827127816209326,0.6379781420765027
100,school_flat_type,05_school_flat_type_period_aware_rdd,AI TONG SCHOOL,,4 ROOM,290,77,213,0.0158956683839341,1.6022676588347329,0.0168507235363008,0.3455159180789912,-0.0171311428606568,0.0489224796285252,1.6022676588347329,0.9579465261199868,ok,True,False,False,False,0.961345708313218,0.5256996524602159
100,school_flat_type,05_school_flat_type_period_aware_rdd,AI TONG SCHOOL,,5 ROOM,56,31,25,-0.0781041007218998,-7.513185790926813,0.0497419927335405,0.1163722191093712,-0.1755966149988925,0.0193884135550927,-7.513185790926813,0.9943679567461504,ok,True,False,False,False,1.072773455813924,0.7019354838709676
100,school_flat_type,05_school_flat_type_period_aware_rdd,AI TONG SCHOOL,,EXECUTIVE,13,2,11,,,,,,,,,insufficient_sample,False,False,False,False,0.3542127911269253,1.0
100,school_flat_type,05_school_flat_type_period_aware_rdd,ANGLO-CHINESE SCHOOL (JUNIOR),,3 ROOM,44,13,31,,,,,,,,,insufficient_sample,False,False,False,False,1.2488225602404308,0.7741935483870969
100,school_flat_type,05_school_flat_type_period_aware_rdd,ANGLO-CHINESE SCHOOL (JUNIOR),,4 ROOM,35,0,35,,,,,,,,,insufficient_sample,False,False,False,False,,0.5
100,school_flat_type,05_school_flat_type_period_aware_rdd,ANGLO-CHINESE SCHOOL (JUNIOR),,5 ROOM,16,0,16,,,,,,,,,insufficient_sample,False,False,False,False,,0.5
100,school_flat_type,05_school_flat_type_period_aware_rdd,CATHOLIC HIGH SCHOOL,,3 ROOM,114,83,31,0.0868787692799966,9.07644375444152,0.1167834573561694,0.4569185562194969,-0.1420126011281648,0.315770139688158,9.07644375444152,0.9735083827374014,ok,True,False,False,False,0.9091066133206523,0.5483870967741935
100,school_flat_type,05_school_flat_type_period_aware_rdd,CATHOLIC HIGH SCHOOL,,4 ROOM,258,169,89,0.0206485499843411,2.086320619330162,0.0243988530200276,0.3973899641514755,-0.0271723231989994,0.0684694231676817,2.086320619330162,0.831232480061894,ok,True,False,False,False,1.340890998586455,0.3108835848680273
100,school_flat_type,05_school_flat_type_period_aware_rdd,CATHOLIC HIGH SCHOOL,,5 ROOM,142,76,66,0.0002512573152437,0.025128888300685,0.0377023334978744,0.994682746925206,-0.0736439584737081,0.0741464731041957,0.025128888300685,0.827654900539258,ok,True,False,False,False,0.533111985251712,0.4772727272727272
100,school_flat_type,05_school_flat_type_period_aware_rdd,CATHOLIC HIGH SCHOOL,,EXECUTIVE,54,18,36,,,,,,,,,insufficient_sample,False,False,False,False,0.6742344319092201,0.611111111111111
100,school_flat_type,05_school_flat_type_period_aware_rdd,CHIJ PRIMARY (TOA PAYOH),,2 ROOM,30,5,25,,,,,,,,,insufficient_sample,False,False,False,False,2.309879222367288,0.96
100,school_flat_type,05_school_flat_type_period_aware_rdd,CHIJ PRIMARY (TOA PAYOH),,3 ROOM,209,132,77,-0.0047144154874443,-0.4703320073728201,0.0172220696632857,0.7842823769257659,-0.0384690517667242,0.0290402207918355,-0.4703320073728201,0.898207207087521,ok,True,False,False,False,0.6085277567379744,0.4318181818181818
100,school_flat_type,05_school_flat_type_period_aware_rdd,CHIJ PRIMARY (TOA PAYOH),,4 ROOM,118,87,31,0.0582803652351344,6.001214460739912,0.0657677374129449,0.3755343701748661,-0.070622031438925,0.1871827619091939,6.001214460739912,0.9603277319927404,ok,True,False,False,False,3.39115275189826,0.8272154245457917
100,school_flat_type,05_school_flat_type_period_aware_rdd,CHIJ PRIMARY (TOA PAYOH),,5 ROOM,50,34,16,,,,,,,,,insufficient_sample,False,False,False,False,1.486336697562931,0.6433823529411764
100,school_flat_type,05_school_flat_type_period_aware_rdd,CHIJ PRIMARY (TOA PAYOH),,EXECUTIVE,17,17,0,,,,,,,,,insufficient_sample,False,False,False,False,,0.5
100,school_flat_type,05_school_flat_type_period_aware_rdd,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,3 ROOM,59,42,17,,,,,,,,,insufficient_sample,False,False,False,False,4.5502624423884095,0.7380952380952381
100,school_flat_type,05_school_flat_type_period_aware_rdd,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,4 ROOM,33,22,11,,,,,,,,,insufficient_sample,False,False,False,False,1.1912544229401638,0.7727272727272725
100,school_flat_type,05_school_flat_type_period_aware_rdd,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,5 ROOM,32,30,2,,,,,,,,,insufficient_sample,False,False,False,False,3.5449494589721113,1.0000000000000002
100,school_flat_type,05_school_flat_type_period_aware_rdd,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,EXECUTIVE,9,4,5,,,,,,,,,insufficient_sample,False,False,False,False,1.208080899385244,1.0
100,school_flat_type,05_school_flat_type_period_aware_rdd,CHONGFU SCHOOL,,3 ROOM,34,0,34,,,,,,,,,insufficient_sample,False,False,False,False,,0.5
100,school_flat_type,05_school_flat_type_period_aware_rdd,CHONGFU SCHOOL,,4 ROOM,52,25,27,0.1797510256996801,19.69193238700928,0.2310094386811557,0.4365034754674399,-0.2730191542041991,0.6325212056035594,19.69193238700928,0.9876851948965676,ok,True,False,False,False,2.381970862619138,0.922962962962963
100,school_flat_type,05_school_flat_type_period_aware_rdd,CHONGFU SCHOOL,,EXECUTIVE,86,0,86,,,,,,,,,insufficient_sample,False,False,False,False,,0.5
100,school_flat_type,05_school_flat_type_period_aware_rdd,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,,3 ROOM,116,40,76,0.0405616653718192,4.139552576485062,0.0875403480515778,0.6431147799204728,-0.1310142640033744,0.2121375947470129,4.139552576485062,0.9100537873625244,ok,True,False,False,False,4.041531177318771,0.5026315789473684
100,school_flat_type,05_school_flat_type_period_aware_rdd,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,,4 ROOM,255,136,119,0.0337637427923298,3.4340207529506728,0.0234303381587662,0.1495771408651253,-0.0121588761444464,0.0796863617291061,3.4340207529506728,0.9427406444288196,ok,True,False,False,False,1.0902400294230392,0.4033613445378151
100,school_flat_type,05_school_flat_type_period_aware_rdd,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,,5 ROOM,63,27,36,0.093531566596404,9.804526434592464,0.2176766770443778,0.6674275916498957,-0.3331068806849332,0.5201700138777413,9.804526434592464,0.9676951675577316,ok,True,False,False,False,0.8856390515376374,0.7407407407407407
100,school_flat_type,05_school_flat_type_period_aware_rdd,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,,EXECUTIVE,92,18,74,,,,,,,,,insufficient_sample,False,False,False,False,2.5720152256829025,0.8243243243243242
100,school_flat_type,05_school_flat_type_period_aware_rdd,METHODIST GIRLS' SCHOOL (PRIMARY),,4 ROOM,16,0,16,,,,,,,,,insufficient_sample,False,False,False,False,,0.5
100,school_flat_type,05_school_flat_type_period_aware_rdd,METHODIST GIRLS' SCHOOL (PRIMARY),,5 ROOM,11,0,11,,,,,,,,,insufficient_sample,False,False,False,False,,0.5
100,school_flat_type,05_school_flat_type_period_aware_rdd,METHODIST GIRLS' SCHOOL (PRIMARY),,EXECUTIVE,48,33,15,,,,,,,,,insufficient_sample,False,False,False,False,2.905409216033026,0.9333333333333332
100,school_flat_type,05_school_flat_type_period_aware_rdd,NORTHLAND PRIMARY SCHOOL,,3 ROOM,73,25,48,0.0438747637756451,4.4851493438268,0.0630479351701265,0.4864943808966193,-0.0796969184574191,0.1674464460087094,4.4851493438268,0.9898117503851646,ok,True,False,False,False,3.4904345072478367,0.875
100,school_flat_type,05_school_flat_type_period_aware_rdd,NORTHLAND PRIMARY SCHOOL,,4 ROOM,173,67,106,0.0120965172878384,1.2169976052670783,0.0218064461605406,0.5790847675027582,-0.0306433318176329,0.0548363663933098,1.2169976052670783,0.9658655689863168,ok,True,False,False,False,0.3398685081484952,0.3901717825964517
100,school_flat_type,05_school_flat_type_period_aware_rdd,NORTHLAND PRIMARY SCHOOL,,5 ROOM,57,15,42,,,,,,,,,insufficient_sample,False,False,False,False,0.7824420952248156,0.6285714285714286
100,school_flat_type,05_school_flat_type_period_aware_rdd,PEI CHUN PUBLIC SCHOOL,,2 ROOM,25,0,25,,,,,,,,,insufficient_sample,False,False,False,False,,0.5
100,school_flat_type,05_school_flat_type_period_aware_rdd,PEI CHUN PUBLIC SCHOOL,,3 ROOM,105,19,86,,,,,,,,,insufficient_sample,False,False,False,False,1.432110345908238,0.5856793145654835
100,school_flat_type,05_school_flat_type_period_aware_rdd,PEI CHUN PUBLIC SCHOOL,,4 ROOM,531,226,305,-0.0329641388466841,-3.242674274019808,0.0142072614400628,0.0203283447773264,-0.0608098595881519,-0.0051184181052163,-3.242674274019808,0.9572190153434362,ok,True,True,True,False,0.5777521992684557,0.2786885245901639
100,school_flat_type,05_school_flat_type_period_aware_rdd,PEI CHUN PUBLIC SCHOOL,,5 ROOM,385,115,270,-0.0178688753581894,-1.771017368428485,0.0173997440950036,0.3044383750444637,-0.0519717471246102,0.0162339964082312,-1.771017368428485,0.9561451191047604,ok,True,False,False,False,1.1125693346042596,0.4037037037037037
100,school_flat_type,05_school_flat_type_period_aware_rdd,PEI CHUN PUBLIC SCHOOL,,EXECUTIVE,24,8,16,,,,,,,,,insufficient_sample,False,False,False,False,1.0004783184107549,0.875
100,school_flat_type,05_school_flat_type_period_aware_rdd,ST. JOSEPH'S INSTITUTION JUNIOR,,5 ROOM,29,0,29,,,,,,,,,insufficient_sample,False,False,False,False,,0.5
25,pooled,01_pooled_period_aware_rdd,,,,1069,508,561,-0.0229806152844509,-2.271857208784545,0.0135277174051243,0.0893606501578226,-0.0494944541915303,0.0035332236226284,-2.271857208784545,0.9727989911491928,ok,,,,,,
25,school,02_school_period_aware_rdd,CATHOLIC HIGH SCHOOL,,,168,79,89,0.0564914686395159,5.811758757914465,0.0479551958724134,0.2387945453574517,-0.0374989881419783,0.1504819254210102,5.811758757914465,0.9891862002625949,ok,True,False,False,False,,
25,school,02_school_period_aware_rdd,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,,,166,69,97,-0.121851867428596,-11.472050248147314,0.1065628077041835,0.2528415810180681,-0.3307111326202632,0.0870073977630711,-11.472050248147314,0.9772882543542568,ok,True,False,False,False,,
25,school,02_school_period_aware_rdd,PEI CHUN PUBLIC SCHOOL,,,220,118,102,-0.0408696793735394,-4.004577636772455,0.0501340920454765,0.4149536422001888,-0.1391306941802896,0.0573913354332106,-4.004577636772455,0.9717819829023124,ok,True,False,False,False,,
25,school,02_school_period_aware_rdd,CHIJ PRIMARY (TOA PAYOH),,,92,40,52,0.0338570120082861,3.4436684128773543,0.0657008501706572,0.6063288947451757,-0.0949142880798642,0.1626283120964365,3.4436684128773543,0.9947348698218744,ok,True,False,False,False,,
25,school,02_school_period_aware_rdd,NORTHLAND PRIMARY SCHOOL,,,133,62,71,-0.0165926827860882,-1.6455782452152512,0.0705720792721947,0.814118064917197,-0.1549114164736955,0.121726050901519,-1.6455782452152512,0.9803261820355316,ok,True,False,False,False,,
25,school,02_school_period_aware_rdd,AI TONG SCHOOL,,,138,92,46,0.0090659729383721,0.9107193344560116,0.0607429857104674,0.8813552981407223,-0.1099880913675751,0.1281200372443195,0.9107193344560116,0.9839674425585736,ok,True,False,False,False,,
25,school,02_school_period_aware_rdd,ANGLO-CHINESE SCHOOL (JUNIOR),,,19,13,6,,,,,,,,,insufficient_sample,False,False,False,False,,
25,school,02_school_period_aware_rdd,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,,47,23,24,,,,,,,,,insufficient_sample,False,False,False,False,,
25,school,02_school_period_aware_rdd,CHONGFU SCHOOL,,,47,0,47,,,,,,,,,insufficient_sample,False,False,False,False,,
25,school,02_school_period_aware_rdd,METHODIST GIRLS' SCHOOL (PRIMARY),,,35,12,23,,,,,,,,,insufficient_sample,False,False,False,False,,
25,school,02_school_period_aware_rdd,ST. JOSEPH'S INSTITUTION JUNIOR,,,4,0,4,,,,,,,,,insufficient_sample,False,False,False,False,,
